0		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.001000	39.1044	17.9605	0.000464063	0.000464063
1		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.002500	39.5435	18.1808	0.00117292	0.00117083
2		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.004000	40.2733	18.4487	0.00185208	0.00185
3		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.005500	40.7806	18.7094	0.00255417	0.00255208
4		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.007000	41.3048	19.0931	0.00326667	0.0032625
5		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.008500	42.0892	19.3382	0.0039	0.00389583
6		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.010000	42.3141	19.3859	0.0046625	0.00465833
7		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.011500	43.2222	19.7145	0.00534531	0.00534219
8		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.013000	43.5302	19.8382	0.00604375	0.0060375
9		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.014500	44.8578	20.433	0.0068125	0.0068
10		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.016000	46.0556	20.8198	0.00749167	0.00748125
11		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.017500	46.3951	20.9234	0.00814375	0.00812917
12		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.019000	47.6093	21.4799	0.00873958	0.00873333
13		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.020500	49.4941	21.9884	0.00956875	0.00956667
14		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.022000	50.8925	22.5331	0.0101937	0.0101896
15		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.023500	54.6812	23.2772	0.0109979	0.0109875
16		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.025000	56.3826	23.4426	0.0116792	0.0116771
17		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.026500	59.1227	23.8523	0.0121542	0.0121521
18		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.028000	63.699	24.3375	0.0130125	0.0130047
19		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.029500	67.7012	25.2076	0.0138547	0.0138547
20		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.031000	74.7148	25.9348	0.0146025	0.0145962
21		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.032500	91.3261	26.535	0.01517	0.0151687
22		 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.034000	332.057	26.7022	0.0158187	0.0158163
